cod_municipio;cod_unico_endereco;num_quadra;nom_logradouro;num_endereco;nom_logradouro_adjacente;dim_testada;dim_profundidade
4104501;4104501.123480-0;4104501.123480-0; RUA KM 54 ;1372;;10;20
4104501;4104501.123498-0;4104501.123498-0; RUA KM 54 ;1384;;10;20
4104501;4104501.12351-1;4104501.12351-1; RUA OTAVIO KISCHNER;1393;;10;20
4104501;4104501.123536-1;4104501.123536-1; TR IGUACU ;77;;10;20
4104501;4104501.123544-1;4104501.123544-1; TR IGUACU ;69;;10;20
4104501;4104501.123552-0;4104501.123552-0; TRAVESSA  Nº 04;543;;10;20
4104501;4104501.123561-0;4104501.123561-0; RUA NATALINO CENSI ;1227;;10;20
4104501;4104501.123579-1;4104501.123579-1; RUA NATALINO CENSI ;1215;;10;20
4104501;4104501.123587-1;4104501.123587-1; RUA NATALINO CENSI ;1199;;10;20
4104501;4104501.123595-0;4104501.123595-0; RUA NATALINO CENSI ;1191;;10;20
4104501;4104501.1236-1;4104501.1236-1; AV. INDEPENDENCIA ;1598;;10;20
4104501;4104501.1236-2;4104501.1236-2; AV. INDEPENDENCIA ;1598;;10;20
4104501;4104501.1236-3;4104501.1236-3; AV. INDEPENDENCIA ;1598;;10;20
4104501;4104501.12360-1;4104501.12360-1; RUA OTAVIO KISCHNER;1339;;10;20
4104501;4104501.123609-0;4104501.123609-0; RUA NATALINO CENSI ;1179;;10;20
4104501;4104501.123617-1;4104501.123617-1; RUA NATALINO CENSI ;1167;;10;20
4104501;4104501.123625-1;4104501.123625-1; RUA NATALINO CENSI ;1155;;10;20
4104501;4104501.123633-0;4104501.123633-0; RUA NATALINO CENSI ;1125;;10;20
4104501;4104501.123641-1;4104501.123641-1; RUA MINAS GERAIS;4666;;10;20
4104501;4104501.123650-1;4104501.123650-1; RUA MINAS GERAIS;4678;;10;20
4104501;4104501.123668-0;4104501.123668-0; RUA BETO MARCELLO ;1130;;10;20
4104501;4104501.123676-0;4104501.123676-0; RUA BETO MARCELLO ;1158;;10;20
4104501;4104501.123684-0;4104501.123684-0; RUA BETO MARCELLO ;1166;;10;20
4104501;4104501.123692-0;4104501.123692-0; RUA BETO MARCELLO ;1178;;10;20
4104501;4104501.123706-0;4104501.123706-0; RUA BETO MARCELLO ;1190;;10;20
4104501;4104501.123714-0;4104501.123714-0; RUA BETO MARCELLO ;1202;;10;20
4104501;4104501.123722-1;4104501.123722-1; RUA BETO MARCELLO ;1214;;10;20
4104501;4104501.123731-0;4104501.123731-0; RUA BETO MARCELLO ;1224;;10;20
4104501;4104501.123749-0;4104501.123749-0; RUA BETO MARCELLO ;1229;;10;20
4104501;4104501.123757-0;4104501.123757-0; RUA BETO MARCELLO ;1217;;10;20
4104501;4104501.123765-0;4104501.123765-0; RUA BETO MARCELLO ;1205;;10;20
4104501;4104501.123773-0;4104501.123773-0; RUA BETO MARCELLO ;1191;;10;20
4104501;4104501.12378-3;4104501.12378-3; AV. PARANA;1390;;10;20
4104501;4104501.123781-1;4104501.123781-1; RUA BETO MARCELLO ;1177;;10;20
4104501;4104501.123790-1;4104501.123790-1; RUA BETO MARCELLO ;1169;;10;20
4104501;4104501.123803-1;4104501.123803-1; RUA BETO MARCELLO ;1153;;10;20
4104501;4104501.123811-0;4104501.123811-0; RUA BETO MARCELLO ;1127;;10;20
4104501;4104501.123820-1;4104501.123820-1; RUA MINAS GERAIS;4732;;10;20
4104501;4104501.123838-1;4104501.123838-1; RUA MINAS GERAIS;4740;;10;20
4104501;4104501.123846-0;4104501.123846-0; RUA PARAISO ;1048;;10;20
4104501;4104501.123854-1;4104501.123854-1; RUA TIBIRICA;1076;;10;20
4104501;4104501.12386-1;4104501.12386-1; AV. PARANA;1320;;10;20
4104501;4104501.123862-1;4104501.123862-1; RUA PARAISO ;1062;;10;20
4104501;4104501.123871-1;4104501.123871-1; RUA PARAISO ;1080;;10;20
4104501;4104501.123889-0;4104501.123889-0; RUA PARAISO ;1096;;10;20
4104501;4104501.123897-0;4104501.123897-0; RUA PARAISO ;1108;;10;20
4104501;4104501.123901-0;4104501.123901-0; RUA PARAISO ;1116;;10;20
4104501;4104501.123919-0;4104501.123919-0; RUA PARAISO ;1130;;10;20
4104501;4104501.123927-0;4104501.123927-0; RUA PARAISO ;1140;;10;20
4104501;4104501.123935-1;4104501.123935-1; RUA PARAISO ;1143;;10;20
4104501;4104501.12394-1;4104501.12394-1; RUA OTAVIO KISCHNER;1385;;10;20
4104501;4104501.12394-2;4104501.12394-2; RUA OTAVIO KISCHNER;1385;;10;20
4104501;4104501.123943-1;4104501.123943-1; RUA PARAISO ;1129;;10;20
